Thickness,Temp1In,Temp1Out,Temp2In,Temp2Out,Fluid1,Fluid2,Q,Qr,Lmtd,Theta1,Theta2,m1,m2,dP1,dP2,V1In,V2In,A,M,Ae,Me,NP
0.39999998,54,49,46,53.078354,41,12,343.90555,171.95277,1.7610091,2.8392811,4.0194874,35.433998,11.76,24.812819,0.97416884,1.1480917,0.32884061,194.68001,17,193.44,17.146711,314
0.39999998,56,70,75,56.359413,12,14,835.50226,835.50226,1.7626582,7.9425492,10.57527,14.37,10.687,56.225063,31.289825,1.8199431,1.393158,72.5,0,71.5,0.005228623,145
0.39999998,59,54,50,58.427681,22,140,500.74133,83.456894,1.7628902,2.8362515,4.7806044,47.84,14.565,29.999115,0.042281635,0.50133145,0.13971649,324.88,17,323.64001,17.140078,524
0.39999998,34,18,15,33.065739,140,3,1103.1688,1103.1688,1.770717,9.0358877,10.202499,16.971001,14.611,47.954113,36.867359,2.17576,1.8753545,133.5,0,132.5,-0.005150422,267
0.39999998,62,53,46,61.85257,41,43,365.08496,182.54248,1.7751349,5.0700374,8.9303465,20.697001,11.818,42.885563,18.991354,0.24249165,0.13845159,466.20001,13,454.36002,13.411811,315
0.39999998,76,64,57,75.849861,36,12,902.15771,451.07886,1.7828407,6.7308311,10.572936,37.605,11.509,50.216412,2.2164855,1.2333095,0.32463989,340.38,0,339.14001,-0.004861854,549
0.39999998,63,77,82,63.373203,19,20,600.73145,66.74794,1.782918,7.8522964,10.447366,21.226,15.406,41.807728,57.946346,0.34414461,0.24216701,249.5,0,248.5,0.000193315,499
0.39999998,58,53,50,57.048416,20,1,495.53922,123.8848,1.783962,2.8027503,3.95099,47.342999,16.846001,21.566229,0.10403495,0.74418485,0.24230042,360.22,0,358.98001,-0.002779817,581
0.39999998,68,63,57,67.761414,19,39,281.67288,281.67288,1.786605,2.798604,6.023387,28.096001,13.251,94.875748,19.875074,0.65170866,0.31149307,599.40002,0,590.52002,0,405
0.39999998,70,60,57,69.038902,36,1,650.28931,325.14465,1.7911953,5.5828643,6.7211556,32.785,12.938,62.884876,3.9612296,1.0717081,0.3744573,269.07999,19,267.84,19.154736,434
0.39999998,70,80,85,70.379913,22,2001,662.26807,165.567,1.792642,5.5783587,8.1556091,31.636,11.615,66.987854,1.9031392,0.49728644,0.14938056,366.41998,0,365.17999,0.001871168,591
0.39999998,70,62,57,69.617615,36,43,644.06763,214.68921,1.7962029,4.4538398,7.0246043,40.525002,25.804001,85.921776,41.46722,1.9870813,1.264994,250,7,249,7.1653366,500
0.39999998,58,66,72,58.245514,39,19,298.95413,149.47707,1.8004369,4.4433661,7.6395268,18.93,10.847,21.967314,29.984472,0.2222794,0.12616605,520.5,0,514.5,-0.00012282,347
0.39999998,42,33,30,41.011738,39,2,711.36621,355.68311,1.8116916,4.9677329,6.0781522,41.662998,15.384,12.395308,0.12603551,0.48270792,0.15885609,856.5,0,853.5,-0.003084441,571
0.39999998,39,46,52,39.252724,14,37,728.27527,242.75841,1.8146135,3.8575709,7.0247889,24.818001,29.715,6.5538821,65.904488,0.4733189,0.64114434,298.84,1,297.60001,0.98306257,482
0.39999998,37,26,20,36.744156,2002,140,740.40558,740.40558,1.8206825,6.0416903,9.1966372,17.538,10.886,57.76318,21.19644,2.0840013,1.3969246,95.5,0,94.5,-0.00576453,191
0.39999998,77,85,90,77.402336,21,9,689.95123,86.243904,1.8245384,4.3846707,6.9045763,41.198002,26.818001,57.901741,10.156466,0.7285406,0.4984996,255,0,254,0.001926506,510
0.39999998,63,74,79,63.404232,35,41,762.76556,190.69139,1.8271948,6.0201573,8.5353613,34.766998,24.417999,60.968876,34.731117,1.281363,0.90239829,254,0,253,-0.009078838,508
0.39999998,28,21,15,27.739214,2001,14,702.97498,702.97498,1.8302149,3.8246875,6.9605017,25.75,13.109,46.855385,5.0675716,2.9805379,1.6777005,212.5,0,211.5,-0.005781412,425
